country	Patent Number	Latitude	Longitude
San Marino	8	43.94236	12.457777
Senegal	10	14.497401	-14.452362
Somalia	1	5.152149	46.199616
Suriname	3	3.919305	-56.027783
El Salvador	16	13.794185	-88.89653
Syrian Arab Republic (Syria)	15	34.802075	38.996815
Swaziland	5	-26.522503	31.465866
Turks and Caicos Islands	8	21.694025	-71.797928
Chad	1	15.454166	18.732207
French Southern Territories	1	-49.280366	69.348557
Togo	1	8.619543	0.824782
Thailand	1920	15.870032	100.992541
Tajikistan	1	38.861034	71.276093
Tokelau	4	-8.967363	-171.855881
Turkmenistan	7	38.969719	59.556278
Tunisia	89	33.886917	9.537499
Tonga	4	-21.178986	-175.198242
Turkey	2044	38.963745	35.243322
Trinidad and Tobago	73	10.691803	-61.222503
Tuvalu	1	-7.109535	177.64933
"Taiwan, Republic of China"	152318	23.69781	120.960515
"Tanzania, United Republic of"	12	-6.369028	34.888822
Ukraine	1093	48.379433	31.16558
Uganda	11	1.373333	32.290275
United States of America	2049404	37.09024	-95.712891
Uruguay	124	-32.522779	-55.765835
Uzbekistan	15	41.377491	64.585262
Venezuela (Bolivarian Republic)	255	6.42375	-66.58973
British Virgin Islands	40	18.420695	-64.639968
"Virgin Islands, US"	3	18.335765	-64.896335
Viet Nam	388	14.058324	108.277199
Vanuatu	1	-15.376706	166.959158
Samoa	19	-13.759029	-172.104629
Yemen	13	15.552727	48.516388
South Africa	2733	-30.559482	22.937506
Zambia	2	-13.133897	27.849332
Zimbabwe	13	-19.015438	29.154857
